job_url,title,salary,location,contract_type,job_type
/jobs/data-analyst-trainee/52027243?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Bournemouth,Permanent,full-time
/jobs/data-analyst-trainee/51992303?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Milton Keynes,Permanent,full-time
/jobs/data-analyst-trainee/51996554?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Dudley,Permanent,full-time
/jobs/data-analyst-trainee/51996528?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,"Sutton, Macclesfield",Permanent,full-time
/jobs/data-analyst-trainee/51958412?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,London,Permanent,full-time
/jobs/data-analyst-trainee/51943801?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,London,Permanent,full-time
/jobs/data-analyst-trainee/51924655?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Ilford,Permanent,full-time
/jobs/data-analyst-trainee/51958154?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Derby,Permanent,full-time
/jobs/data-analyst-trainee/51923421?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,"Newport, Gwent",Permanent,full-time
/jobs/data-analyst-trainee/51896488?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Reading,Permanent,full-time
/jobs/data-analyst-trainee/51883723?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Birkenhead,Permanent,full-time
/jobs/data-analyst-trainee/51879760?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Widmore,Permanent,full-time
/jobs/data-analyst-trainee/51862855?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Cardiff,Permanent,full-time
/jobs/data-analyst-trainee/51854986?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Edinburgh,Permanent,full-time
/jobs/data-analyst-trainee/51854978?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Leeds,Permanent,full-time
/jobs/data-analyst-trainee/51853182?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Glasgow,Permanent,full-time
/jobs/data-analyst-trainee/51854341?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Leicester,Permanent,full-time
/jobs/data-analyst-trainee/52027784?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,York,Permanent,full-time
/jobs/data-analyst-trainee/51962429?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Southampton,Permanent,full-time
/jobs/data-analyst-trainee/51961068?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Wolverhampton,Permanent,full-time
/jobs/data-analyst-trainee/51958928?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Romford,Permanent,full-time
/jobs/data-analyst-trainee/52001196?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Swindon,Permanent,full-time
/jobs/data-analyst-trainee/52000925?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Sutton Coldfield,Permanent,full-time
/jobs/data-analyst-trainee/52007539?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Crawley,Permanent,full-time
/jobs/data-analyst-trainee/52007487?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,West London,Permanent,full-time
/jobs/data-analyst-trainee/52019423?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Warrington,Permanent,full-time
/jobs/data-analyst-trainee/51993228?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,London,Permanent,full-time
/jobs/data-analyst-trainee/51992697?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Northampton,Permanent,full-time
/jobs/data-analyst-trainee/51996617?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Twickenham,Permanent,full-time
/jobs/data-analyst-trainee/51996431?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Barking,Permanent,full-time
/jobs/data-analyst-trainee/52027196?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Slough,Permanent,full-time
/jobs/data-analyst-trainee/51852763?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee, Training Course,Nottingham,Permanent,full-time
/jobs/data-analyst-trainee/51852655?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,Liverpool,Permanent,full-time
/jobs/data-analyst-trainee/51927559?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,Southend-on-Sea,Permanent,full-time
/jobs/data-analyst-trainee/51943865?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,Belfast,Permanent,full-time
/jobs/data-analyst-trainee/51927375?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,Swansea,Permanent,full-time
/jobs/data-analyst-trainee/51941187?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,London,Permanent,full-time
/jobs/data-analyst-trainee/51919444?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,Uxbridge,Permanent,full-time
/jobs/data-analyst-trainee/51923558?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,London,Permanent,full-time
/jobs/data-analyst-trainee/51883781?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,East London,Permanent,full-time
/jobs/data-analyst-trainee/51870481?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,East London,Permanent,full-time
/jobs/data-analyst-trainee/51879828?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,London,Permanent,full-time
/jobs/data-analyst-trainee/51879560?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee, Training Course,Sunderland,Permanent,full-time
